risk_profile_id,customer_id,risk_tolerance,investment_horizon_years,last_review_date
155,155,Moderate,25,2025-03-01 00:00:00
156,156,Aggressive,13,2025-06-22 00:00:00
157,157,Aggressive,3,2025-06-05 00:00:00
158,158,Conservative,1,2023-10-29 00:00:00
159,159,Aggressive,1,2024-03-17 00:00:00
160,160,Conservative,11,2024-08-06 00:00:00
161,161,Aggressive,16,2024-05-29 00:00:00
162,162,Moderate,17,2024-04-10 00:00:00
163,163,Moderate,16,2024-12-21 00:00:00
164,164,Conservative,21,2025-10-04 00:00:00
165,165,Conservative,12,2023-11-08 00:00:00
166,166,Conservative,1,2023-10-17 00:00:00
167,167,Moderate,20,2026-05-19 00:00:00
168,168,Conservative,20,2026-03-30 00:00:00
169,169,Aggressive,3,2024-11-22 00:00:00
170,170,Aggressive,18,2025-01-11 00:00:00
171,171,Moderate,9,2025-12-10 00:00:00
172,172,Aggressive,4,2025-07-13 00:00:00
173,173,Aggressive,13,2026-03-16 00:00:00
174,174,Moderate,24,2024-05-13 00:00:00
175,175,Aggressive,4,2025-03-03 00:00:00
176,176,Conservative,24,2024-09-27 00:00:00
177,177,Conservative,6,2026-02-17 00:00:00
178,178,Aggressive,14,2024-06-17 00:00:00
179,179,Moderate,22,2025-12-04 00:00:00
180,180,Moderate,11,2024-07-17 00:00:00
181,181,Moderate,9,2025-09-07 00:00:00
182,182,Aggressive,15,2024-02-24 00:00:00
183,183,Moderate,21,2026-03-09 00:00:00
184,184,Aggressive,4,2024-04-13 00:00:00
185,185,Conservative,15,2025-11-23 00:00:00
186,186,Aggressive,25,2023-01-07 00:00:00
187,187,Conservative,5,2024-09-19 00:00:00
188,188,Conservative,7,2026-01-04 00:00:00
189,189,Moderate,8,2023-03-08 00:00:00
190,190,Aggressive,3,2024-08-27 00:00:00
191,191,Moderate,15,2023-06-03 00:00:00
192,192,Conservative,17,2025-12-25 00:00:00
193,193,Moderate,11,2023-03-19 00:00:00
194,194,Moderate,22,2023-12-16 00:00:00
195,195,Conservative,17,2026-05-30 00:00:00
196,196,Moderate,24,2023-03-19 00:00:00
197,197,Aggressive,3,2024-02-17 00:00:00
198,198,Moderate,13,2023-06-29 00:00:00
199,199,Moderate,8,2023-12-25 00:00:00
200,200,Moderate,1,2026-04-20 00:00:00
201,201,Aggressive,18,2024-09-15 00:00:00
202,202,Aggressive,23,2025-02-16 00:00:00
203,203,Conservative,12,2023-03-11 00:00:00
204,204,Conservative,5,2025-03-02 00:00:00
205,205,Moderate,5,2026-03-06 00:00:00
206,206,Aggressive,25,2025-08-28 00:00:00
207,207,Conservative,10,2023-06-13 00:00:00
208,208,Aggressive,21,2026-01-04 00:00:00
209,209,Moderate,14,2026-03-26 00:00:00
210,210,Moderate,9,2025-06-06 00:00:00
211,211,Moderate,17,2024-01-30 00:00:00
212,212,Moderate,12,2024-01-03 00:00:00
213,213,Conservative,1,2025-06-18 00:00:00
214,214,Moderate,2,2025-07-20 00:00:00
215,215,Conservative,9,2025-05-24 00:00:00
216,216,Aggressive,6,2024-04-09 00:00:00
217,217,Moderate,23,2025-09-24 00:00:00
218,218,Conservative,1,2026-04-14 00:00:00
219,219,Conservative,24,2025-11-28 00:00:00
220,220,Conservative,3,2025-01-28 00:00:00
221,221,Aggressive,8,2025-04-26 00:00:00
222,222,Conservative,13,2024-06-23 00:00:00
223,223,Conservative,12,2024-06-18 00:00:00
224,224,Aggressive,4,2023-06-28 00:00:00
225,225,Conservative,6,2024-10-03 00:00:00
226,226,Moderate,18,2023-03-27 00:00:00
227,227,Conservative,7,2025-08-11 00:00:00
228,228,Moderate,20,2026-01-27 00:00:00
229,229,Moderate,22,2024-01-24 00:00:00
230,230,Aggressive,21,2023-03-06 00:00:00
231,231,Moderate,16,2024-11-05 00:00:00
232,232,Aggressive,22,2025-10-10 00:00:00
233,233,Conservative,10,2023-07-11 00:00:00
234,234,Moderate,24,2023-12-05 00:00:00
235,235,Conservative,24,2023-05-02 00:00:00
236,236,Moderate,17,2023-09-24 00:00:00
237,237,Conservative,11,2023-07-23 00:00:00
238,238,Aggressive,16,2026-03-02 00:00:00
239,239,Moderate,7,2024-10-04 00:00:00
240,240,Moderate,17,2023-04-03 00:00:00
241,241,Moderate,12,2023-06-11 00:00:00
242,242,Moderate,15,2023-01-23 00:00:00
243,243,Conservative,15,2025-06-21 00:00:00
244,244,Aggressive,20,2024-06-30 00:00:00
245,245,Conservative,16,2025-05-14 00:00:00
246,246,Moderate,10,2025-03-23 00:00:00
247,247,Conservative,23,2023-08-31 00:00:00
248,248,Moderate,1,2023-03-10 00:00:00
249,249,Conservative,16,2023-08-25 00:00:00
250,250,Aggressive,9,2024-11-20 00:00:00
251,251,Aggressive,1,2023-11-22 00:00:00
252,252,Moderate,12,2026-04-01 00:00:00
253,253,Moderate,2,2023-10-28 00:00:00
254,254,Aggressive,18,2023-05-16 00:00:00
255,255,Moderate,15,2024-09-20 00:00:00
256,256,Conservative,13,2024-01-23 00:00:00
257,257,Conservative,22,2026-01-12 00:00:00
258,258,Moderate,9,2024-07-12 00:00:00
259,259,Moderate,2,2025-07-24 00:00:00
260,260,Conservative,4,2025-09-20 00:00:00
261,261,Moderate,20,2025-01-27 00:00:00
262,262,Moderate,14,2023-11-16 00:00:00
263,263,Conservative,19,2023-07-19 00:00:00
264,264,Conservative,1,2025-02-22 00:00:00
265,265,Moderate,15,2025-01-21 00:00:00
266,266,Moderate,1,2025-02-26 00:00:00
267,267,Moderate,10,2025-07-15 00:00:00
268,268,Conservative,11,2023-08-13 00:00:00
269,269,Moderate,25,2023-11-10 00:00:00
270,270,Aggressive,18,2024-01-04 00:00:00
271,271,Aggressive,11,2023-08-26 00:00:00
272,272,Aggressive,18,2024-02-18 00:00:00
273,273,Moderate,10,2025-06-15 00:00:00
274,274,Moderate,8,2025-04-24 00:00:00
275,275,Aggressive,18,2024-05-28 00:00:00
276,276,Conservative,2,2023-03-22 00:00:00
277,277,Conservative,2,2024-09-11 00:00:00
278,278,Moderate,4,2025-02-16 00:00:00
279,279,Moderate,21,2025-12-30 00:00:00
280,280,Aggressive,4,2025-08-19 00:00:00
281,281,Conservative,15,2025-01-04 00:00:00
282,282,Aggressive,2,2024-07-28 00:00:00
283,283,Aggressive,14,2024-06-13 00:00:00
284,284,Conservative,21,2025-11-27 00:00:00
285,285,Moderate,16,2025-03-11 00:00:00
286,286,Moderate,21,2024-03-28 00:00:00
287,287,Conservative,7,2025-11-22 00:00:00
288,288,Conservative,4,2023-04-22 00:00:00
289,289,Conservative,6,2024-05-19 00:00:00
290,290,Aggressive,4,2024-02-22 00:00:00
291,291,Moderate,4,2023-12-17 00:00:00
292,292,Moderate,11,2025-08-03 00:00:00
293,293,Aggressive,14,2025-07-22 00:00:00
294,294,Aggressive,18,2024-03-06 00:00:00
295,295,Conservative,14,2026-04-15 00:00:00
296,296,Moderate,25,2024-07-10 00:00:00
297,297,Aggressive,14,2025-08-02 00:00:00
298,298,Aggressive,21,2024-08-13 00:00:00
299,299,Aggressive,2,2025-11-21 00:00:00
300,300,Moderate,20,2025-11-22 00:00:00
301,301,Moderate,11,2024-03-11 00:00:00
302,302,Moderate,13,2023-09-14 00:00:00
303,303,Moderate,19,2024-05-03 00:00:00
304,304,Moderate,4,2026-01-15 00:00:00
305,305,Moderate,2,2024-10-29 00:00:00
306,306,Moderate,15,2026-04-22 00:00:00
307,307,Moderate,7,2024-12-19 00:00:00
308,308,Moderate,19,2023-07-16 00:00:00
309,309,Conservative,3,2026-05-08 00:00:00
310,310,Moderate,11,2024-02-11 00:00:00
311,311,Moderate,25,2025-01-13 00:00:00
312,312,Aggressive,16,2023-02-28 00:00:00
313,313,Moderate,15,2026-01-10 00:00:00
314,314,Moderate,22,2023-01-03 00:00:00
315,315,Moderate,7,2024-07-11 00:00:00
316,316,Conservative,21,2026-05-01 00:00:00
317,317,Aggressive,9,2023-10-10 00:00:00
318,318,Conservative,23,2026-03-30 00:00:00
319,319,Aggressive,10,2025-11-14 00:00:00
320,320,Conservative,5,2023-02-02 00:00:00
321,321,Conservative,8,2023-09-26 00:00:00
322,322,Moderate,20,2023-03-18 00:00:00
323,323,Moderate,18,2023-04-07 00:00:00
324,324,Aggressive,7,2026-02-16 00:00:00
325,325,Aggressive,6,2023-08-09 00:00:00
326,326,Conservative,15,2025-08-23 00:00:00
327,327,Conservative,24,2025-08-10 00:00:00
328,328,Moderate,19,2025-04-13 00:00:00
329,329,Conservative,20,2024-11-05 00:00:00
330,330,Aggressive,15,2026-04-09 00:00:00
331,331,Aggressive,25,2026-05-16 00:00:00
332,332,Moderate,2,2025-09-25 00:00:00
333,333,Aggressive,16,2024-09-20 00:00:00
334,334,Moderate,18,2023-04-08 00:00:00
335,335,Conservative,6,2025-07-01 00:00:00
336,336,Moderate,2,2025-01-29 00:00:00
337,337,Moderate,9,2024-01-30 00:00:00
338,338,Conservative,13,2026-03-28 00:00:00
339,339,Moderate,6,2026-02-14 00:00:00
340,340,Conservative,10,2026-03-04 00:00:00
341,341,Conservative,6,2023-02-19 00:00:00
342,342,Moderate,5,2026-03-11 00:00:00
343,343,Moderate,16,2024-07-29 00:00:00
344,344,Conservative,4,2024-03-11 00:00:00
345,345,Moderate,17,2026-03-15 00:00:00
346,346,Moderate,9,2025-07-05 00:00:00
347,347,Moderate,19,2024-10-17 00:00:00
348,348,Moderate,13,2024-07-09 00:00:00
349,349,Moderate,5,2023-09-20 00:00:00
350,350,Conservative,17,2025-11-12 00:00:00
351,351,Aggressive,17,2023-08-15 00:00:00
352,352,Moderate,3,2024-01-11 00:00:00
353,353,Conservative,8,2025-01-13 00:00:00
354,354,Moderate,5,2026-01-14 00:00:00
355,355,Aggressive,20,2023-05-16 00:00:00
356,356,Moderate,1,2025-06-30 00:00:00
357,357,Moderate,16,2023-01-24 00:00:00
358,358,Moderate,8,2025-08-13 00:00:00
359,359,Moderate,2,2025-07-01 00:00:00
360,360,Aggressive,1,2023-01-16 00:00:00
361,361,Moderate,21,2023-12-14 00:00:00
362,362,Conservative,21,2025-04-03 00:00:00
363,363,Aggressive,24,2023-07-15 00:00:00
364,364,Aggressive,23,2025-01-31 00:00:00
365,365,Aggressive,21,2023-11-30 00:00:00
366,366,Moderate,9,2024-08-26 00:00:00
367,367,Moderate,14,2025-07-03 00:00:00
368,368,Conservative,15,2024-07-21 00:00:00
369,369,Moderate,13,2026-02-22 00:00:00
370,370,Aggressive,19,2023-08-30 00:00:00
371,371,Moderate,2,2024-12-04 00:00:00
372,372,Moderate,5,2025-03-10 00:00:00
373,373,Conservative,22,2023-02-18 00:00:00
374,374,Conservative,7,2025-04-12 00:00:00
375,375,Moderate,16,2025-08-31 00:00:00
376,376,Aggressive,19,2026-01-22 00:00:00
377,377,Conservative,7,2025-08-13 00:00:00
378,378,Moderate,19,2024-11-11 00:00:00
379,379,Conservative,14,2023-11-14 00:00:00
380,380,Conservative,21,2025-06-05 00:00:00
381,381,Moderate,13,2026-03-07 00:00:00
382,382,Moderate,13,2024-09-11 00:00:00
383,383,Aggressive,2,2023-06-15 00:00:00
384,384,Conservative,3,2025-08-13 00:00:00
385,385,Moderate,19,2024-03-19 00:00:00
386,386,Aggressive,22,2026-01-24 00:00:00
387,387,Moderate,24,2024-08-24 00:00:00
388,388,Moderate,14,2024-03-14 00:00:00
389,389,Conservative,20,2023-10-01 00:00:00
390,390,Conservative,23,2023-12-06 00:00:00
391,391,Moderate,10,2024-07-22 00:00:00
392,392,Conservative,23,2025-04-10 00:00:00
393,393,Aggressive,11,2023-01-06 00:00:00
394,394,Moderate,2,2025-11-07 00:00:00
395,395,Moderate,11,2025-05-20 00:00:00
396,396,Moderate,15,2024-11-12 00:00:00
397,397,Aggressive,5,2026-04-25 00:00:00
398,398,Moderate,20,2023-06-30 00:00:00
399,399,Moderate,19,2023-04-28 00:00:00
400,400,Conservative,10,2026-03-28 00:00:00
401,401,Moderate,11,2024-03-18 00:00:00
402,402,Moderate,6,2026-02-04 00:00:00
403,403,Aggressive,6,2024-12-02 00:00:00
404,404,Moderate,3,2024-05-15 00:00:00
405,405,Aggressive,1,2025-05-30 00:00:00
406,406,Moderate,16,2023-05-28 00:00:00
407,407,Moderate,1,2026-03-14 00:00:00
408,408,Conservative,12,2024-12-16 00:00:00
409,409,Aggressive,23,2023-12-01 00:00:00
410,410,Aggressive,8,2025-08-25 00:00:00
411,411,Aggressive,24,2025-03-28 00:00:00
412,412,Conservative,16,2025-02-10 00:00:00
413,413,Conservative,16,2024-01-25 00:00:00
414,414,Moderate,2,2025-01-31 00:00:00
415,415,Conservative,19,2025-10-15 00:00:00
416,416,Moderate,11,2024-08-01 00:00:00
417,417,Aggressive,14,2025-01-04 00:00:00
418,418,Moderate,6,2026-04-20 00:00:00
419,419,Aggressive,1,2025-09-04 00:00:00
420,420,Moderate,9,2023-10-16 00:00:00
421,421,Moderate,8,2023-09-11 00:00:00
422,422,Conservative,24,2023-11-12 00:00:00
423,423,Moderate,20,2023-07-07 00:00:00
424,424,Conservative,17,2023-07-19 00:00:00
425,425,Conservative,13,2023-09-23 00:00:00
426,426,Moderate,23,2024-04-27 00:00:00
427,427,Moderate,9,2023-02-18 00:00:00
428,428,Moderate,5,2026-05-31 00:00:00
429,429,Conservative,5,2025-02-13 00:00:00
430,430,Aggressive,16,2023-03-10 00:00:00
431,431,Aggressive,12,2024-09-03 00:00:00
432,432,Moderate,18,2024-04-20 00:00:00
433,433,Aggressive,23,2023-09-13 00:00:00
434,434,Aggressive,14,2025-12-08 00:00:00
435,435,Aggressive,20,2023-08-10 00:00:00
436,436,Moderate,25,2023-11-28 00:00:00
437,437,Moderate,5,2023-05-26 00:00:00
438,438,Moderate,5,2023-05-25 00:00:00
439,439,Conservative,16,2025-02-01 00:00:00
440,440,Conservative,20,2025-11-12 00:00:00
441,441,Moderate,2,2025-05-31 00:00:00
442,442,Moderate,13,2024-06-07 00:00:00
443,443,Moderate,22,2024-07-25 00:00:00
444,444,Moderate,20,2023-09-27 00:00:00
445,445,Moderate,3,2024-10-12 00:00:00
446,446,Moderate,5,2024-10-16 00:00:00
447,447,Moderate,4,2026-05-05 00:00:00
448,448,Conservative,2,2023-08-21 00:00:00
449,449,Moderate,20,2024-10-22 00:00:00
450,450,Moderate,10,2023-01-22 00:00:00
451,451,Moderate,1,2024-09-22 00:00:00
452,452,Moderate,12,2025-01-26 00:00:00
453,453,Conservative,3,2026-02-04 00:00:00
454,454,Moderate,15,2023-08-23 00:00:00
455,455,Conservative,10,2023-12-23 00:00:00
456,456,Moderate,24,2024-02-05 00:00:00
457,457,Conservative,15,2025-08-21 00:00:00
458,458,Conservative,15,2026-04-14 00:00:00
459,459,Moderate,1,2025-09-28 00:00:00
460,460,Moderate,14,2025-05-14 00:00:00
461,461,Moderate,2,2023-08-18 00:00:00
462,462,Aggressive,25,2023-10-23 00:00:00
463,463,Aggressive,14,2024-01-04 00:00:00
464,464,Moderate,21,2023-01-27 00:00:00
465,465,Moderate,25,2025-01-04 00:00:00
466,466,Moderate,22,2025-10-24 00:00:00
467,467,Moderate,11,2026-03-06 00:00:00
468,468,Moderate,5,2023-10-12 00:00:00
469,469,Conservative,19,2023-07-31 00:00:00
470,470,Aggressive,19,2025-11-28 00:00:00
471,471,Aggressive,7,2023-04-29 00:00:00
472,472,Moderate,12,2023-11-13 00:00:00
473,473,Conservative,22,2024-02-07 00:00:00
474,474,Moderate,20,2024-07-26 00:00:00
475,475,Aggressive,18,2023-06-19 00:00:00
476,476,Moderate,9,2025-09-10 00:00:00
477,477,Moderate,17,2024-03-30 00:00:00
478,478,Moderate,8,2025-10-16 00:00:00
479,479,Aggressive,23,2026-05-15 00:00:00
480,480,Moderate,18,2023-02-06 00:00:00
481,481,Aggressive,1,2025-12-23 00:00:00
482,482,Aggressive,13,2026-05-07 00:00:00
483,483,Moderate,13,2024-05-31 00:00:00
484,484,Conservative,7,2023-01-14 00:00:00
485,485,Moderate,3,2024-09-03 00:00:00
486,486,Conservative,19,2025-07-31 00:00:00
487,487,Moderate,18,2025-02-22 00:00:00
488,488,Aggressive,1,2023-07-29 00:00:00
489,489,Moderate,20,2023-12-30 00:00:00
490,490,Moderate,23,2025-01-02 00:00:00
491,491,Aggressive,4,2026-02-13 00:00:00
492,492,Aggressive,25,2025-09-06 00:00:00
493,493,Aggressive,8,2023-01-26 00:00:00
494,494,Aggressive,9,2023-04-27 00:00:00
495,495,Moderate,5,2024-02-19 00:00:00
496,496,Moderate,5,2024-04-05 00:00:00
497,497,Moderate,20,2025-05-14 00:00:00
498,498,Moderate,9,2023-11-29 00:00:00
499,499,Aggressive,20,2023-12-02 00:00:00
500,500,Conservative,18,2026-05-30 00:00:00
501,501,Moderate,8,2025-02-12 00:00:00
502,502,Moderate,12,2023-04-17 00:00:00
503,503,Conservative,7,2024-09-22 00:00:00
504,504,Aggressive,15,2025-09-27 00:00:00
505,505,Aggressive,12,2026-04-04 00:00:00
506,506,Moderate,2,2023-09-14 00:00:00
507,507,Conservative,12,2023-03-04 00:00:00
508,508,Aggressive,9,2023-04-24 00:00:00
509,509,Conservative,19,2024-07-14 00:00:00
510,510,Moderate,12,2026-05-08 00:00:00
511,511,Moderate,11,2023-03-07 00:00:00
512,512,Conservative,21,2025-09-18 00:00:00
513,513,Conservative,20,2026-01-04 00:00:00
514,514,Conservative,25,2024-08-29 00:00:00
515,515,Conservative,13,2025-09-07 00:00:00
516,516,Aggressive,21,2024-11-27 00:00:00
517,517,Aggressive,17,2024-10-30 00:00:00
518,518,Aggressive,20,2023-01-04 00:00:00
519,519,Conservative,21,2024-11-22 00:00:00
520,520,Moderate,18,2023-11-26 00:00:00
521,521,Conservative,8,2026-05-03 00:00:00
522,522,Moderate,1,2023-11-27 00:00:00
523,523,Moderate,4,2026-01-06 00:00:00
524,524,Moderate,4,2024-08-16 00:00:00
525,525,Conservative,22,2026-05-04 00:00:00
526,526,Conservative,24,2023-12-11 00:00:00
527,527,Moderate,23,2025-07-26 00:00:00
528,528,Moderate,10,2023-11-16 00:00:00
529,529,Conservative,8,2024-09-16 00:00:00
530,530,Moderate,10,2024-08-18 00:00:00
531,531,Aggressive,2,2023-05-18 00:00:00
532,532,Aggressive,13,2024-04-17 00:00:00
533,533,Moderate,23,2024-05-10 00:00:00
534,534,Moderate,19,2025-04-24 00:00:00
535,535,Moderate,12,2023-03-14 00:00:00
536,536,Conservative,19,2023-05-21 00:00:00
537,537,Conservative,24,2025-08-13 00:00:00
538,538,Aggressive,22,2024-09-02 00:00:00
539,539,Aggressive,23,2025-09-07 00:00:00
540,540,Moderate,1,2023-11-15 00:00:00
541,541,Moderate,6,2024-03-24 00:00:00
542,542,Moderate,11,2024-03-02 00:00:00
543,543,Aggressive,16,2024-10-28 00:00:00
544,544,Conservative,8,2026-02-23 00:00:00
545,545,Aggressive,19,2025-07-20 00:00:00
546,546,Aggressive,3,2026-04-16 00:00:00
547,547,Aggressive,8,2023-09-14 00:00:00
548,548,Conservative,25,2024-02-09 00:00:00
549,549,Conservative,24,2025-08-28 00:00:00
550,550,Moderate,6,2024-02-12 00:00:00
551,551,Conservative,12,2024-03-09 00:00:00
552,552,Moderate,16,2025-07-12 00:00:00
553,553,Moderate,25,2025-03-13 00:00:00
554,554,Moderate,21,2024-04-03 00:00:00
555,555,Conservative,16,2023-06-16 00:00:00
556,556,Conservative,20,2024-12-10 00:00:00
557,557,Aggressive,8,2023-07-17 00:00:00
558,558,Conservative,24,2026-03-30 00:00:00
559,559,Aggressive,19,2023-11-18 00:00:00
560,560,Moderate,18,2026-05-30 00:00:00
561,561,Moderate,2,2026-05-02 00:00:00
562,562,Moderate,22,2026-03-19 00:00:00
563,563,Conservative,19,2026-04-27 00:00:00
564,564,Aggressive,2,2023-02-21 00:00:00
565,565,Aggressive,9,2024-12-16 00:00:00
566,566,Moderate,5,2026-02-25 00:00:00
567,567,Aggressive,8,2024-01-06 00:00:00
568,568,Conservative,20,2026-03-18 00:00:00
569,569,Moderate,3,2024-10-05 00:00:00
570,570,Moderate,18,2025-01-03 00:00:00
571,571,Moderate,5,2025-07-26 00:00:00
572,572,Aggressive,3,2024-05-13 00:00:00
573,573,Aggressive,7,2023-12-03 00:00:00
574,574,Moderate,13,2026-03-06 00:00:00
