portfolio_id,account_id,portfolio_type,current_value,inception_date
55,357,Goal-Based,60008.96,2021-03-26 00:00:00
56,970,Equity,527126.42,2019-03-09 00:00:00
57,52,Fixed Income,462625.75,2025-09-20 00:00:00
58,134,Goal-Based,257891.3,2018-01-19 00:00:00
59,1439,Equity,133000.32,2023-10-12 00:00:00
60,1081,Hybrid,79590.64,2018-03-11 00:00:00
61,487,Equity,1246593.91,2019-10-18 00:00:00
62,897,Equity,965577.92,2026-02-11 00:00:00
63,1238,Fixed Income,125215.94,2022-10-04 00:00:00
64,524,Hybrid,243029.81,2021-08-08 00:00:00
65,98,Hybrid,133251.25,2024-06-21 00:00:00
66,1245,Equity,153455.21,2022-08-16 00:00:00
67,811,Equity,244651.92,2022-05-28 00:00:00
68,1394,Fixed Income,292895.67,2025-08-29 00:00:00
69,1092,Fixed Income,212083.04,2022-08-03 00:00:00
70,199,Equity,592818.52,2023-04-11 00:00:00
71,1117,Fixed Income,358354.26,2018-03-26 00:00:00
72,209,Equity,236530.08,2018-03-21 00:00:00
73,270,Fixed Income,311904.58,2025-01-22 00:00:00
74,1427,Hybrid,320111.65,2023-01-25 00:00:00
75,1182,Equity,81271.21,2024-11-09 00:00:00
76,67,Fixed Income,372951.58,2019-07-05 00:00:00
77,737,Goal-Based,73105.44,2022-12-09 00:00:00
78,1288,Fixed Income,134694.02,2018-04-01 00:00:00
79,93,Fixed Income,216111.48,2021-04-06 00:00:00
80,545,Hybrid,334953.65,2020-02-29 00:00:00
81,273,Equity,249827.79,2017-04-05 00:00:00
82,921,Equity,269279.41,2021-04-26 00:00:00
83,575,Hybrid,225969.61,2021-11-26 00:00:00
84,33,Equity,1272286.39,2023-06-11 00:00:00
85,141,Hybrid,81815.61,2021-01-21 00:00:00
86,150,Fixed Income,172469.1,2023-03-26 00:00:00
87,1339,Goal-Based,1211170.41,2019-08-15 00:00:00
88,1447,Goal-Based,88055.65,2019-01-05 00:00:00
89,1317,Hybrid,187313.92,2026-01-09 00:00:00
90,1483,Fixed Income,244333.81,2024-04-21 00:00:00
91,64,Equity,138275.41,2023-11-09 00:00:00
92,963,Equity,127781.71,2022-12-14 00:00:00
93,840,Equity,1945872.39,2021-04-25 00:00:00
94,380,Hybrid,360030.2,2017-12-11 00:00:00
95,1482,Hybrid,57662.91,2021-12-04 00:00:00
96,942,Equity,171565.16,2025-01-12 00:00:00
97,1314,Equity,198221.18,2023-01-31 00:00:00
98,770,Hybrid,108233.35,2022-04-29 00:00:00
99,1472,Fixed Income,129950.65,2017-08-18 00:00:00
100,937,Goal-Based,91517.24,2019-09-11 00:00:00
101,533,Hybrid,195915.94,2019-10-01 00:00:00
102,15,Equity,150069.31,2020-03-08 00:00:00
103,833,Equity,85468.05,2017-12-14 00:00:00
104,894,Fixed Income,691616.27,2017-09-21 00:00:00
105,424,Hybrid,29805.99,2024-08-24 00:00:00
106,259,Fixed Income,202617.97,2025-08-14 00:00:00
107,1445,Hybrid,87090.3,2025-06-25 00:00:00
108,397,Hybrid,301730.07,2025-04-19 00:00:00
109,165,Hybrid,362859.32,2025-10-17 00:00:00
110,59,Equity,332037.49,2020-06-28 00:00:00
111,590,Equity,66098.94,2022-03-14 00:00:00
112,272,Fixed Income,516827,2020-09-01 00:00:00
113,192,Fixed Income,102483.18,2018-04-04 00:00:00
114,129,Hybrid,68486.9,2022-08-23 00:00:00
115,1226,Hybrid,59206.03,2017-06-22 00:00:00
116,170,Goal-Based,218960.79,2021-05-20 00:00:00
117,1133,Fixed Income,389294.37,2020-10-16 00:00:00
118,1219,Hybrid,585323.68,2017-08-06 00:00:00
119,924,Hybrid,112133.52,2023-06-04 00:00:00
120,1467,Hybrid,190295.47,2024-08-14 00:00:00
121,1440,Hybrid,94200.68,2024-06-24 00:00:00
122,298,Goal-Based,157326.14,2025-10-29 00:00:00
123,1033,Goal-Based,125607.34,2026-02-07 00:00:00
124,77,Hybrid,489851.12,2023-02-16 00:00:00
125,948,Equity,130811.94,2023-09-23 00:00:00
126,1370,Equity,45571.62,2021-07-19 00:00:00
127,369,Fixed Income,75449.44,2025-06-22 00:00:00
128,462,Fixed Income,1348511.35,2023-10-16 00:00:00
129,57,Hybrid,25567.02,2019-01-19 00:00:00
130,295,Hybrid,58633.32,2023-11-27 00:00:00
131,447,Goal-Based,334786.73,2023-02-05 00:00:00
132,589,Fixed Income,75544.15,2021-05-20 00:00:00
133,1418,Equity,124539.83,2024-05-09 00:00:00
134,54,Equity,1554537.7,2020-03-06 00:00:00
135,647,Hybrid,445711.61,2018-12-09 00:00:00
136,1406,Hybrid,70772.33,2023-04-27 00:00:00
137,767,Hybrid,69417.56,2023-06-17 00:00:00
138,684,Equity,123137.46,2017-10-01 00:00:00
139,1332,Fixed Income,473198.85,2018-12-21 00:00:00
140,315,Fixed Income,276081.4,2019-10-16 00:00:00
141,974,Hybrid,1073857.48,2026-01-31 00:00:00
142,772,Equity,58987.99,2021-07-24 00:00:00
143,189,Equity,497995.01,2025-08-18 00:00:00
144,963,Goal-Based,109475.42,2021-10-25 00:00:00
145,414,Hybrid,74526.1,2026-01-14 00:00:00
146,21,Hybrid,78760.43,2017-08-02 00:00:00
147,1417,Hybrid,114064.38,2024-12-29 00:00:00
148,1307,Fixed Income,144841.2,2024-01-29 00:00:00
149,972,Goal-Based,96626.47,2019-08-18 00:00:00
150,88,Hybrid,748936.38,2020-12-26 00:00:00
151,226,Equity,286110.17,2023-01-21 00:00:00
152,702,Fixed Income,27933.76,2020-07-06 00:00:00
153,276,Fixed Income,35159.57,2021-07-30 00:00:00
154,574,Fixed Income,128362.66,2023-01-15 00:00:00
155,111,Fixed Income,246473.52,2023-07-19 00:00:00
156,1301,Equity,121899.35,2026-02-26 00:00:00
157,1273,Hybrid,138227.45,2023-01-19 00:00:00
158,882,Equity,77613.32,2024-03-03 00:00:00
159,396,Equity,604600.05,2025-03-01 00:00:00
160,512,Equity,124263.03,2024-03-06 00:00:00
161,1134,Equity,165253.93,2022-01-10 00:00:00
162,1196,Equity,228583.59,2017-11-15 00:00:00
163,1111,Fixed Income,136834.03,2025-04-19 00:00:00
164,320,Fixed Income,163136.34,2019-02-06 00:00:00
165,1407,Hybrid,1605441.99,2020-05-18 00:00:00
166,802,Hybrid,643377.38,2024-06-04 00:00:00
167,181,Hybrid,137863.21,2024-10-16 00:00:00
168,1480,Hybrid,287387.83,2017-03-30 00:00:00
169,790,Hybrid,76972.91,2023-05-07 00:00:00
170,1067,Equity,627031.64,2024-08-23 00:00:00
171,741,Hybrid,242470.57,2018-10-12 00:00:00
172,976,Hybrid,105371.53,2025-05-19 00:00:00
173,1105,Equity,351515.52,2021-03-22 00:00:00
174,583,Hybrid,142688.78,2024-03-24 00:00:00
175,983,Equity,228023.79,2017-07-01 00:00:00
176,788,Equity,329624.96,2025-09-25 00:00:00
177,1476,Fixed Income,1056546.07,2024-02-13 00:00:00
178,1374,Hybrid,69803.19,2024-04-22 00:00:00
179,63,Hybrid,28199.63,2023-11-18 00:00:00
180,805,Fixed Income,433339.4,2026-01-19 00:00:00
181,148,Equity,64226.6,2024-10-01 00:00:00
182,1438,Equity,251034.01,2017-12-17 00:00:00
183,700,Fixed Income,110524.92,2020-10-09 00:00:00
184,432,Hybrid,84391.57,2021-07-05 00:00:00
185,1347,Hybrid,150127.03,2024-07-17 00:00:00
186,446,Hybrid,312044.06,2023-05-08 00:00:00
187,940,Fixed Income,563811.68,2023-09-12 00:00:00
188,345,Equity,231407.69,2020-10-05 00:00:00
189,1374,Equity,194930.55,2024-12-14 00:00:00
190,551,Fixed Income,41397.02,2025-12-30 00:00:00
191,1026,Hybrid,470409.29,2024-09-27 00:00:00
192,1073,Hybrid,530516.54,2022-01-14 00:00:00
193,1227,Equity,229842.3,2019-11-10 00:00:00
194,1010,Hybrid,117096.82,2024-11-28 00:00:00
195,228,Goal-Based,52276.99,2025-03-30 00:00:00
196,769,Hybrid,57924.61,2022-07-28 00:00:00
197,57,Goal-Based,72477.6,2017-02-19 00:00:00
198,1193,Fixed Income,80561.97,2019-11-24 00:00:00
199,654,Equity,68041.77,2017-11-04 00:00:00
200,867,Hybrid,515861.38,2020-02-14 00:00:00
201,109,Equity,46579.29,2021-02-09 00:00:00
202,1487,Hybrid,208064.05,2021-12-15 00:00:00
203,249,Hybrid,100388.19,2023-11-24 00:00:00
204,835,Goal-Based,1417201.62,2017-01-14 00:00:00
205,340,Equity,468765.44,2018-02-21 00:00:00
206,936,Fixed Income,147691.65,2019-08-09 00:00:00
207,1283,Hybrid,153337.14,2017-12-20 00:00:00
208,965,Hybrid,763265.17,2018-09-20 00:00:00
209,727,Hybrid,239643.54,2022-12-23 00:00:00
210,661,Fixed Income,1113604.78,2019-10-31 00:00:00
211,895,Equity,170830.84,2020-06-13 00:00:00
212,277,Fixed Income,525209.87,2018-07-09 00:00:00
213,717,Hybrid,370628.91,2022-07-20 00:00:00
214,348,Fixed Income,169001.39,2026-02-21 00:00:00
215,1404,Fixed Income,271216.1,2017-08-10 00:00:00
216,668,Fixed Income,188150.73,2025-05-29 00:00:00
217,1300,Fixed Income,27431.81,2026-01-17 00:00:00
218,389,Equity,116824.83,2021-06-11 00:00:00
219,1204,Equity,93323.47,2021-03-22 00:00:00
220,149,Hybrid,65630.87,2021-11-18 00:00:00
221,187,Goal-Based,75408.89,2022-05-30 00:00:00
222,471,Hybrid,1115547.21,2025-04-17 00:00:00
223,1197,Equity,476791.44,2022-03-30 00:00:00
224,620,Equity,89288.77,2018-06-26 00:00:00
225,7,Equity,140776.34,2021-06-01 00:00:00
226,1105,Fixed Income,153884.8,2017-06-16 00:00:00
227,425,Goal-Based,75620,2022-08-11 00:00:00
228,300,Goal-Based,91362.28,2018-07-27 00:00:00
229,173,Equity,204691.1,2017-09-01 00:00:00
230,1393,Hybrid,117496.44,2025-04-15 00:00:00
231,1285,Equity,185306.41,2018-08-09 00:00:00
232,1033,Fixed Income,138105.59,2025-04-16 00:00:00
233,586,Hybrid,332664,2017-11-13 00:00:00
234,744,Equity,48968.3,2018-07-11 00:00:00
235,705,Fixed Income,19139.1,2024-03-25 00:00:00
236,1420,Equity,318448.63,2019-01-18 00:00:00
237,106,Goal-Based,203954.12,2023-08-10 00:00:00
238,1075,Fixed Income,1179828.74,2021-05-12 00:00:00
239,555,Fixed Income,199612.15,2018-08-15 00:00:00
240,510,Fixed Income,358008.72,2020-07-01 00:00:00
241,244,Fixed Income,89413.08,2025-05-14 00:00:00
242,449,Hybrid,58239.54,2018-03-30 00:00:00
243,893,Fixed Income,195572.94,2023-11-16 00:00:00
244,1264,Fixed Income,534831.11,2023-07-19 00:00:00
245,329,Fixed Income,24443.64,2025-04-26 00:00:00
246,1079,Equity,73041.86,2024-01-04 00:00:00
247,370,Fixed Income,56863.03,2025-05-07 00:00:00
248,964,Equity,117662.44,2017-12-27 00:00:00
249,601,Fixed Income,113738.79,2020-06-12 00:00:00
250,1248,Goal-Based,77757.79,2019-12-05 00:00:00
251,9,Equity,442801.39,2023-11-21 00:00:00
252,188,Hybrid,180750.81,2019-03-29 00:00:00
253,1155,Fixed Income,270321.77,2017-06-10 00:00:00
254,144,Equity,398206.83,2020-07-27 00:00:00
255,699,Hybrid,146019.77,2020-04-30 00:00:00
256,1263,Equity,104355.24,2025-03-27 00:00:00
257,150,Equity,623269.28,2019-01-29 00:00:00
258,1154,Hybrid,289660.34,2019-11-10 00:00:00
259,849,Fixed Income,306167.24,2020-09-18 00:00:00
260,812,Hybrid,310825.94,2018-03-09 00:00:00
261,398,Equity,49037.9,2018-12-18 00:00:00
262,362,Hybrid,323467.64,2018-01-24 00:00:00
263,3,Hybrid,72157.54,2017-12-01 00:00:00
264,566,Equity,293089.08,2025-03-21 00:00:00
265,915,Equity,366669.14,2023-10-20 00:00:00
266,562,Equity,186404.3,2024-12-10 00:00:00
267,447,Hybrid,67246.54,2021-06-30 00:00:00
268,1433,Hybrid,70359.61,2023-12-16 00:00:00
269,1222,Hybrid,103343.58,2019-01-25 00:00:00
270,866,Hybrid,87560.46,2020-12-29 00:00:00
271,729,Goal-Based,195877.01,2023-05-12 00:00:00
272,660,Equity,443142.18,2019-12-21 00:00:00
273,22,Equity,253215.93,2021-07-25 00:00:00
274,166,Equity,67937.7,2022-06-21 00:00:00
275,890,Hybrid,201447.21,2022-03-16 00:00:00
276,1382,Equity,192613.39,2025-03-22 00:00:00
277,1319,Hybrid,116891.82,2021-06-26 00:00:00
278,1189,Hybrid,166850.78,2017-08-04 00:00:00
279,1,Hybrid,123272.88,2022-05-04 00:00:00
280,1262,Hybrid,107447.58,2020-12-04 00:00:00
281,1349,Goal-Based,768145.74,2021-07-15 00:00:00
282,198,Equity,219071.21,2024-01-07 00:00:00
283,593,Fixed Income,142550.13,2017-06-27 00:00:00
284,649,Equity,823074.06,2017-05-25 00:00:00
285,1442,Equity,259265.43,2024-09-29 00:00:00
286,1058,Fixed Income,96611.65,2018-10-23 00:00:00
287,1103,Equity,143365.55,2025-05-06 00:00:00
288,288,Hybrid,81047.18,2026-03-17 00:00:00
289,220,Goal-Based,73871.17,2019-05-29 00:00:00
290,1416,Equity,526127.82,2024-07-10 00:00:00
291,1319,Equity,39387.13,2019-01-17 00:00:00
292,1036,Fixed Income,22615.73,2021-10-30 00:00:00
293,1311,Fixed Income,311811.41,2025-11-14 00:00:00
294,1300,Fixed Income,222346.15,2026-03-14 00:00:00
295,529,Hybrid,107935.54,2023-07-02 00:00:00
296,1006,Hybrid,51431.11,2017-10-23 00:00:00
297,590,Hybrid,145862.77,2019-02-01 00:00:00
298,1470,Hybrid,461393.96,2024-07-05 00:00:00
299,583,Hybrid,472679.61,2020-06-12 00:00:00
300,10,Equity,436775.21,2024-06-07 00:00:00
301,684,Fixed Income,36583.17,2020-05-04 00:00:00
302,603,Hybrid,208425.74,2024-08-30 00:00:00
303,152,Equity,43965.61,2022-03-28 00:00:00
304,691,Goal-Based,159242.44,2024-01-26 00:00:00
305,1077,Hybrid,409426.36,2023-11-14 00:00:00
306,1370,Equity,88742,2018-02-26 00:00:00
307,1235,Equity,56195.68,2022-04-04 00:00:00
308,76,Fixed Income,159371.16,2023-11-15 00:00:00
309,1358,Equity,159289.21,2020-09-16 00:00:00
310,1483,Fixed Income,37298.19,2023-08-07 00:00:00
311,553,Hybrid,710482.15,2021-06-22 00:00:00
312,1276,Equity,44243.41,2022-03-01 00:00:00
313,821,Equity,304906.04,2019-11-07 00:00:00
314,1332,Hybrid,510592.47,2024-06-03 00:00:00
315,922,Equity,110483.56,2018-02-09 00:00:00
316,758,Fixed Income,95948.04,2017-01-22 00:00:00
317,528,Hybrid,398835.56,2017-01-15 00:00:00
318,833,Fixed Income,60612.38,2019-09-25 00:00:00
319,482,Hybrid,441658.69,2017-06-15 00:00:00
320,918,Fixed Income,81397.46,2023-04-04 00:00:00
321,68,Equity,112834.5,2018-08-27 00:00:00
322,846,Hybrid,55851.15,2025-12-17 00:00:00
323,980,Equity,99252.74,2017-12-13 00:00:00
324,1351,Fixed Income,27088.76,2024-10-11 00:00:00
325,1122,Fixed Income,243605.5,2024-08-23 00:00:00
326,1210,Hybrid,719478.51,2019-04-09 00:00:00
327,1120,Goal-Based,653699.76,2023-07-04 00:00:00
328,1341,Fixed Income,478249.02,2024-08-09 00:00:00
329,807,Fixed Income,40888.15,2019-12-07 00:00:00
330,700,Equity,37643,2022-04-24 00:00:00
331,964,Hybrid,190173.46,2024-06-07 00:00:00
332,1408,Fixed Income,1136641.44,2025-05-08 00:00:00
333,853,Hybrid,162976.91,2020-04-19 00:00:00
334,50,Fixed Income,107995.77,2021-03-20 00:00:00
335,822,Fixed Income,750519.7,2024-03-07 00:00:00
336,958,Equity,226091.74,2019-02-18 00:00:00
337,1294,Hybrid,46764.56,2025-09-12 00:00:00
338,579,Hybrid,299788.79,2024-11-20 00:00:00
339,1250,Equity,573822.02,2019-03-11 00:00:00
340,1010,Equity,142788.75,2019-07-11 00:00:00
341,124,Equity,224188.31,2021-11-17 00:00:00
342,361,Hybrid,245548.78,2017-03-21 00:00:00
343,578,Equity,1082937.91,2022-03-14 00:00:00
344,1226,Hybrid,109101.97,2025-01-19 00:00:00
345,1014,Fixed Income,131523.39,2023-11-08 00:00:00
346,1161,Equity,154997.99,2023-08-03 00:00:00
347,733,Equity,259349.1,2025-12-18 00:00:00
348,550,Equity,246240.24,2022-01-10 00:00:00
349,1298,Equity,37427.34,2025-08-21 00:00:00
350,1197,Equity,13781.17,2025-09-02 00:00:00
351,54,Hybrid,143768.91,2021-01-29 00:00:00
352,998,Hybrid,212314.87,2020-12-20 00:00:00
353,447,Hybrid,195368.71,2021-07-14 00:00:00
354,1276,Fixed Income,85762.19,2025-02-02 00:00:00
355,902,Fixed Income,88121.56,2018-07-04 00:00:00
356,524,Hybrid,124795.02,2022-03-14 00:00:00
357,713,Fixed Income,60779.7,2022-11-18 00:00:00
358,508,Equity,232008.64,2025-03-21 00:00:00
359,1315,Hybrid,133973.62,2021-04-21 00:00:00
360,1006,Goal-Based,113545.64,2024-10-22 00:00:00
361,196,Hybrid,49459.57,2021-06-20 00:00:00
362,553,Goal-Based,159924.02,2020-06-20 00:00:00
363,149,Equity,748584.87,2018-08-31 00:00:00
364,692,Fixed Income,29175.95,2023-08-26 00:00:00
365,835,Hybrid,478426.96,2021-07-08 00:00:00
366,885,Equity,51087.9,2018-07-24 00:00:00
367,1316,Equity,321494.11,2025-01-16 00:00:00
368,1322,Fixed Income,159566.68,2020-10-19 00:00:00
369,193,Fixed Income,20839.08,2025-10-05 00:00:00
370,760,Equity,186558.19,2021-12-13 00:00:00
371,1018,Goal-Based,27764.59,2020-07-19 00:00:00
372,551,Fixed Income,213096.97,2026-02-19 00:00:00
373,1367,Fixed Income,344155.34,2021-05-12 00:00:00
374,1181,Fixed Income,52780.52,2025-03-15 00:00:00
375,502,Fixed Income,126471.39,2023-05-19 00:00:00
376,417,Fixed Income,154366.69,2025-10-05 00:00:00
377,258,Hybrid,158893.1,2017-01-06 00:00:00
378,982,Fixed Income,287409.93,2020-03-14 00:00:00
379,1214,Hybrid,44391.5,2017-06-27 00:00:00
380,766,Equity,37034.51,2018-12-26 00:00:00
381,270,Goal-Based,42747.34,2018-08-25 00:00:00
382,654,Equity,455800.51,2023-10-10 00:00:00
383,1328,Equity,47240.48,2021-07-17 00:00:00
384,1071,Equity,219513.84,2021-04-29 00:00:00
385,1230,Fixed Income,34386.76,2025-04-04 00:00:00
386,998,Fixed Income,38180.06,2023-10-06 00:00:00
387,96,Goal-Based,647124.01,2022-08-18 00:00:00
388,884,Equity,108722.34,2024-06-15 00:00:00
389,871,Goal-Based,484322.32,2018-10-07 00:00:00
390,308,Equity,56111.57,2026-02-03 00:00:00
391,251,Fixed Income,182939.41,2023-05-24 00:00:00
392,310,Goal-Based,76128.73,2017-09-19 00:00:00
393,425,Hybrid,190195.77,2023-06-17 00:00:00
394,255,Equity,379405.97,2026-03-15 00:00:00
395,1372,Goal-Based,215449.55,2017-03-21 00:00:00
396,740,Hybrid,493077.99,2025-01-02 00:00:00
397,309,Equity,173695.64,2018-05-24 00:00:00
398,1402,Equity,74564.49,2021-10-20 00:00:00
399,107,Hybrid,477024.6,2017-04-24 00:00:00
400,897,Fixed Income,378005.03,2021-06-30 00:00:00
401,520,Hybrid,340226.31,2018-01-10 00:00:00
402,1417,Hybrid,70387.02,2018-08-30 00:00:00
403,65,Equity,19559.77,2023-08-26 00:00:00
404,1272,Equity,128656.23,2023-07-05 00:00:00
405,610,Fixed Income,543655.79,2021-05-22 00:00:00
406,1339,Goal-Based,470887.86,2021-04-19 00:00:00
407,255,Fixed Income,25794.13,2025-08-29 00:00:00
408,289,Hybrid,75117.75,2025-12-09 00:00:00
409,1418,Equity,28832.99,2024-01-21 00:00:00
410,1395,Equity,217764.74,2017-05-05 00:00:00
411,1152,Equity,117540.66,2024-12-07 00:00:00
412,481,Equity,46278.32,2019-06-11 00:00:00
413,1415,Hybrid,326383.86,2017-01-13 00:00:00
414,1240,Equity,71167.49,2022-11-20 00:00:00
415,673,Hybrid,163436.49,2022-11-01 00:00:00
416,453,Equity,580560.5,2017-09-14 00:00:00
417,1327,Equity,144011.77,2025-02-13 00:00:00
418,1284,Fixed Income,156757.6,2018-01-19 00:00:00
419,1285,Fixed Income,88274.41,2017-09-22 00:00:00
420,334,Hybrid,182181.83,2018-09-12 00:00:00
421,441,Equity,134508.09,2024-01-03 00:00:00
422,951,Fixed Income,352342.81,2025-12-07 00:00:00
423,532,Equity,297252.95,2022-11-03 00:00:00
424,242,Equity,116200.29,2018-01-18 00:00:00
425,1104,Goal-Based,93450.22,2024-06-11 00:00:00
426,244,Hybrid,165162.58,2025-01-11 00:00:00
427,213,Hybrid,196852.24,2026-02-16 00:00:00
428,1353,Fixed Income,495600.56,2024-03-06 00:00:00
429,13,Hybrid,265649.82,2020-12-01 00:00:00
430,1099,Goal-Based,174302.81,2022-04-02 00:00:00
431,603,Equity,77179.71,2025-10-03 00:00:00
432,395,Goal-Based,160202.03,2020-12-23 00:00:00
433,1188,Goal-Based,267665.22,2022-09-30 00:00:00
434,726,Equity,235718.26,2025-02-28 00:00:00
435,1356,Fixed Income,217680.89,2017-08-09 00:00:00
436,638,Equity,877687.62,2018-10-13 00:00:00
437,1404,Hybrid,271607.02,2023-09-13 00:00:00
438,709,Equity,223495.4,2022-08-20 00:00:00
439,639,Fixed Income,48612.97,2017-10-18 00:00:00
440,19,Hybrid,59832.08,2021-05-12 00:00:00
441,205,Hybrid,252479.85,2024-08-17 00:00:00
442,1378,Equity,610369.87,2018-09-08 00:00:00
443,1385,Hybrid,240634.16,2020-10-05 00:00:00
444,201,Equity,145831.67,2024-04-16 00:00:00
445,683,Fixed Income,35731.59,2024-09-24 00:00:00
446,1480,Hybrid,197169.15,2020-10-06 00:00:00
447,1038,Hybrid,613243.62,2021-03-30 00:00:00
448,1256,Fixed Income,89059.52,2018-04-15 00:00:00
449,122,Equity,625185.91,2019-11-16 00:00:00
450,854,Fixed Income,250378.27,2018-02-14 00:00:00
451,58,Hybrid,161364.72,2019-12-12 00:00:00
452,166,Equity,83016.02,2024-11-06 00:00:00
453,427,Fixed Income,110131.05,2017-05-06 00:00:00
454,644,Hybrid,84661.4,2024-05-16 00:00:00
455,1433,Equity,579795.84,2020-04-10 00:00:00
456,411,Hybrid,337537,2023-03-17 00:00:00
457,20,Fixed Income,774742.96,2022-02-26 00:00:00
458,1328,Equity,91093.9,2019-04-12 00:00:00
459,798,Hybrid,445089.21,2018-02-28 00:00:00
460,779,Equity,112441.33,2022-03-14 00:00:00
461,1413,Equity,187949.21,2025-07-27 00:00:00
462,677,Goal-Based,54898.3,2024-08-01 00:00:00
463,903,Equity,150114.67,2020-05-20 00:00:00
464,641,Equity,86712.36,2024-09-02 00:00:00
465,104,Hybrid,347242.26,2022-09-24 00:00:00
466,218,Equity,173658.42,2021-06-01 00:00:00
467,364,Hybrid,570408.77,2025-09-03 00:00:00
468,69,Equity,38192.82,2025-12-14 00:00:00
469,1001,Hybrid,218337.16,2022-11-14 00:00:00
470,1065,Equity,124876.69,2020-01-17 00:00:00
471,1290,Equity,1549759.61,2024-08-16 00:00:00
472,1355,Fixed Income,260046.43,2025-05-11 00:00:00
473,724,Equity,195494.62,2024-03-19 00:00:00
474,86,Fixed Income,43240.14,2022-01-14 00:00:00
475,853,Hybrid,132573.94,2020-07-16 00:00:00
476,4,Goal-Based,363700.94,2020-09-23 00:00:00
477,210,Fixed Income,96774.97,2017-02-28 00:00:00
478,11,Hybrid,35119.71,2024-11-01 00:00:00
479,1441,Equity,80887.77,2021-02-27 00:00:00
480,262,Hybrid,119847.36,2020-08-06 00:00:00
481,191,Hybrid,191826.7,2019-08-20 00:00:00
482,183,Equity,57673.73,2017-05-04 00:00:00
483,37,Hybrid,138818.63,2020-02-11 00:00:00
484,120,Hybrid,56904.26,2017-12-01 00:00:00
485,41,Fixed Income,164844.84,2024-12-30 00:00:00
486,1026,Equity,98466.65,2024-09-29 00:00:00
487,99,Fixed Income,731307.71,2025-06-01 00:00:00
488,167,Equity,324824.05,2021-01-01 00:00:00
489,559,Hybrid,153952.75,2020-12-12 00:00:00
490,962,Equity,52019.29,2022-02-21 00:00:00
491,1236,Equity,62946.19,2017-11-03 00:00:00
492,1039,Equity,100043.04,2023-02-07 00:00:00
493,767,Fixed Income,100890,2022-11-02 00:00:00
494,106,Fixed Income,129598.04,2024-10-21 00:00:00
495,1263,Fixed Income,171606.88,2019-07-13 00:00:00
496,19,Equity,219546.37,2026-02-21 00:00:00
497,722,Hybrid,199439.8,2017-11-18 00:00:00
