holding_id,portfolio_id,asset_class,instrument_name,quantity,market_value
111,251,Mutual Fund,Balanced Income Fund,1330,155523.11
112,324,Equity,GOOGL,96,21439.27
113,586,Bond,UST 5Y,77,33610.93
114,1898,Bond,Corp Bond A,274,130275.75
115,1752,Bond,Corp Bond B,189,208642.19
116,255,Mutual Fund,Euro Equity Fund,1728,86915.65
117,1776,Cash,USD Cash,1,56365.56
118,517,Equity,GOOGL,514,32114.62
119,1587,Equity,AMZN,64,3571.25
120,1403,Equity,UNH,174,28291.97
121,2386,ETF,SPY,210,47486.35
122,2455,Bond,UST 5Y,271,290968.23
123,443,Equity,V,97,36834.85
124,2023,Bond,UK Gilt 2030,155,120979.37
125,1572,Bond,UST 10Y,216,171131.18
126,1894,Mutual Fund,Global Growth Fund,959,21092.31
127,672,ETF,EWU,724,152542.36
128,439,Mutual Fund,Euro Equity Fund,105,5574.57
129,2214,Equity,MSFT,622,99622.78
130,858,Mutual Fund,Global Growth Fund,1124,40320.46
131,1478,Bond,Euro Gov Bond,77,50428.14
132,1169,Mutual Fund,Euro Equity Fund,535,52773.22
133,2452,Bond,UK Gilt 2030,82,14480.37
134,2240,Equity,UNH,417,9286.43
135,1378,Mutual Fund,Euro Equity Fund,62,6599.68
136,922,Mutual Fund,US Bluechip Fund,1350,156181.83
137,1333,Mutual Fund,US Bluechip Fund,1821,33058.43
138,462,Bond,UST 5Y,267,75553.41
139,1054,Equity,AMZN,346,52797.22
140,1743,ETF,VTI,59,18445.93
141,2021,Bond,Corp Bond B,101,22639.58
142,2259,Equity,V,692,190807.92
143,1782,ETF,VGK,314,16513.45
144,862,Mutual Fund,Global Growth Fund,1100,116618.92
145,1014,ETF,SPY,600,46642.6
146,947,Bond,Corp Bond A,290,214536.05
147,1796,Equity,TSLA,429,63657.76
148,952,ETF,SPY,352,10100.15
149,124,Equity,UNH,724,170548.76
150,1413,Cash,GBP Cash,1,146138.01
151,1417,Cash,GBP Cash,1,96799.29
152,1779,ETF,QQQ,613,198268.82
153,955,Bond,Corp Bond B,237,151598.69
154,2460,Bond,Euro Gov Bond,54,60988.85
155,302,Equity,MSFT,183,54122.99
156,1829,Equity,JPM,217,31160.01
157,1263,Equity,JPM,469,22632.96
158,787,Equity,JPM,764,337232
159,2169,ETF,QQQ,203,45889.13
160,2132,Bond,UST 5Y,21,10501.18
161,1724,Bond,Corp Bond B,117,114898.32
162,1450,Mutual Fund,Euro Equity Fund,466,45246.48
163,946,Mutual Fund,Balanced Income Fund,1890,95141.13
164,836,Equity,NESN,474,157341.18
165,2430,Bond,UST 5Y,48,20914.78
166,2268,Mutual Fund,Balanced Income Fund,2297,267894.91
167,2321,ETF,VGK,194,44574
168,2454,Mutual Fund,US Bluechip Fund,1561,100010.33
169,197,ETF,VTI,178,5999.12
170,1507,Mutual Fund,US Bluechip Fund,968,61206.44
171,1469,Equity,MSFT,191,16350.77
172,1815,Equity,TSLA,799,224024.21
173,2110,ETF,VGK,57,18662.11
174,1344,Equity,JPM,577,201759.87
175,717,Bond,UK Gilt 2030,290,68695.63
176,86,Bond,Corp Bond A,247,285273.76
177,1785,ETF,XIC,597,93065.09
178,1132,Equity,MSFT,795,80984.28
179,1011,ETF,VGK,13,4988.15
180,992,Equity,MSFT,987,155561.84
181,116,ETF,EWU,261,104513.7
182,69,Mutual Fund,Euro Equity Fund,1833,89895.07
183,2432,ETF,VGK,726,18697.58
184,997,Cash,CAD Cash,1,48562.53
185,2194,Equity,V,822,62774.92
186,1391,Bond,UST 5Y,260,297727.51
187,1802,Bond,UK Gilt 2030,94,105459.98
188,175,ETF,XIC,742,113208.42
189,2446,Mutual Fund,Balanced Income Fund,564,62441.18
190,590,Bond,UK Gilt 2030,205,135868.92
191,142,Equity,UNH,746,52104.56
192,2378,Equity,UNH,541,234010.59
193,1125,ETF,QQQ,355,15840.29
194,1215,Bond,UST 5Y,125,25829.28
195,875,ETF,XIC,412,137659.46
196,1882,Mutual Fund,Global Growth Fund,48,1327.85
197,1028,Bond,UK Gilt 2030,71,5833.91
198,1083,Equity,AAPL,561,208651.63
199,1034,ETF,SPY,16,6563.07
200,2274,Bond,UST 10Y,298,335262.83
201,139,Equity,V,169,15322.01
202,1151,Equity,AAPL,504,187759.05
203,1603,Equity,JPM,44,8632.57
204,82,Mutual Fund,Balanced Income Fund,348,29011.25
205,1663,Equity,JPM,991,114706.82
206,654,Bond,Corp Bond B,292,144401.23
207,1867,Bond,UST 10Y,87,43436.03
208,543,Cash,GBP Cash,1,145521.68
209,2353,ETF,VTI,98,29557.54
210,1250,Equity,NESN,165,61319.31
211,2269,Bond,Euro Gov Bond,32,28584.11
212,880,Equity,TSLA,64,6176.18
213,2413,Mutual Fund,Global Growth Fund,552,28896.65
214,881,Equity,NESN,348,92673.88
215,2282,Bond,UK Gilt 2030,173,145908.32
216,2312,Mutual Fund,Global Growth Fund,1336,109130.06
217,157,Bond,UST 5Y,76,55042.64
218,2193,Equity,GOOGL,290,102415.96
219,54,Equity,AAPL,773,133422.31
220,2090,Mutual Fund,Euro Equity Fund,540,49186.04
221,1809,Mutual Fund,Euro Equity Fund,1140,55127.97
222,2111,ETF,EWU,458,63402.88
223,1793,Equity,UNH,709,53150.72
224,261,Mutual Fund,Euro Equity Fund,2094,50382.88
225,1900,ETF,SPY,517,208678.11
226,1484,Bond,Corp Bond B,265,176459.8
227,199,Bond,UST 10Y,173,39275.41
228,944,Bond,Corp Bond B,104,93012.06
229,607,Mutual Fund,Global Growth Fund,1971,44075.34
230,187,Bond,Corp Bond B,186,130203.01
231,1353,Bond,UST 5Y,63,22417.79
232,567,Equity,MSFT,675,124081.92
233,1854,Equity,AAPL,359,19741.17
234,1212,ETF,SPY,735,132726.51
235,2081,Mutual Fund,Global Growth Fund,899,98742.3
236,255,Equity,TSLA,956,39014.12
237,322,Mutual Fund,Balanced Income Fund,668,11821.88
238,1902,Mutual Fund,Balanced Income Fund,1903,79803.82
239,15,ETF,QQQ,565,192204.82
240,636,Bond,Euro Gov Bond,68,45538.97
241,2178,ETF,SPY,18,3012.74
242,703,Mutual Fund,Euro Equity Fund,2265,168305.1
243,167,Mutual Fund,US Bluechip Fund,602,31322.83
244,2116,Equity,TSLA,432,164916.89
245,1283,Equity,UNH,558,100072.45
246,489,Bond,UST 5Y,122,107880.18
247,578,Equity,TSLA,631,62449.59
248,1930,Equity,UNH,117,39269.69
249,1804,ETF,VTI,970,90480.24
250,444,Equity,NVDA,380,64388.19
251,1280,Equity,AMZN,990,396996.88
252,1116,Equity,AAPL,410,34948.4
253,1205,ETF,XIC,770,122632.99
254,1951,Equity,AMZN,1000,53543.63
255,574,Mutual Fund,Balanced Income Fund,456,24675.77
256,804,Bond,UST 5Y,273,235006.99
257,1603,Equity,TSLA,653,257364.57
258,169,Cash,GBP Cash,1,49250.94
259,1985,Equity,AAPL,111,6331
260,223,Mutual Fund,US Bluechip Fund,2429,48061.72
261,942,ETF,VGK,752,99246.97
262,1463,Equity,TSLA,26,10807
263,2220,Bond,Euro Gov Bond,263,289126.03
264,372,Mutual Fund,Global Growth Fund,786,82211.56
265,1888,Mutual Fund,Balanced Income Fund,1731,75532.2
266,626,Equity,TSLA,956,196876.78
267,84,Equity,NESN,370,121223.2
268,152,Equity,NVDA,834,107277.83
269,1069,Bond,Corp Bond A,275,92511.47
270,1517,ETF,EWU,968,430317.21
271,92,Bond,Corp Bond A,189,85138.01
272,666,ETF,SPY,925,150077.37
273,782,Equity,V,866,365622.55
274,160,ETF,VTI,612,80422.83
275,1507,Equity,V,459,52179.5
276,1754,Equity,MSFT,120,8874.5
277,864,Bond,Corp Bond A,69,29059.8
278,2291,Equity,TSLA,370,89870.02
279,1734,Equity,UNH,732,273929.8
280,2336,ETF,EWU,581,98314.24
281,1473,Mutual Fund,Balanced Income Fund,1181,120068.32
282,735,ETF,QQQ,333,114068.16
283,406,Mutual Fund,Euro Equity Fund,1519,37544.73
284,2363,Equity,JPM,477,113613.83
285,1234,Bond,Euro Gov Bond,11,10861.3
286,231,Bond,Corp Bond A,62,43550.34
287,26,ETF,VTI,249,60214.39
288,2183,Mutual Fund,Global Growth Fund,611,12017.91
289,458,Bond,Corp Bond B,16,16334.74
290,1356,Equity,V,337,49911.93
291,956,ETF,VTI,126,17751.45
292,1182,Cash,USD Cash,1,104916.08
293,1465,Equity,GOOGL,496,69746.05
294,1607,Bond,UK Gilt 2030,164,141491.62
295,1012,Mutual Fund,Global Growth Fund,909,94507.65
296,420,Mutual Fund,Global Growth Fund,990,13715.89
297,730,ETF,XIC,108,45974.37
298,1960,Equity,UNH,75,25129.13
299,2360,Equity,NVDA,265,28604.09
300,2462,Mutual Fund,Balanced Income Fund,2113,219450.55
301,711,ETF,VTI,433,157809.52
302,2362,Equity,NESN,498,107486.69
303,501,ETF,EWU,36,15351.98
304,2302,Equity,TSLA,558,30540.07
305,1277,Mutual Fund,US Bluechip Fund,2200,246562.68
306,2267,Bond,Corp Bond A,230,189093.09
307,1626,Bond,Corp Bond A,105,23878.91
308,951,Cash,EUR Cash,1,14161.19
309,554,Equity,JPM,924,183106.03
310,1136,Equity,TSLA,712,135165.98
311,165,Equity,V,908,379573.72
312,2470,Equity,AMZN,272,46299.91
313,1757,ETF,SPY,449,117889.09
314,23,Bond,UST 5Y,62,70089.12
315,1116,ETF,XIC,258,7892.42
316,1351,Mutual Fund,Balanced Income Fund,467,20585.29
317,527,Equity,UNH,899,254895.79
318,1250,ETF,SPY,535,179657.71
319,1945,Bond,Corp Bond A,14,3616.54
320,1989,Equity,V,380,14265.06
321,1578,Cash,GBP Cash,1,63944.21
322,441,ETF,SPY,445,129914.19
323,1756,Bond,Corp Bond A,286,264191.82
324,1598,Equity,NESN,396,66348.96
325,1875,Bond,UST 5Y,61,60325.01
326,496,Bond,UST 5Y,22,13347.45
327,1741,Mutual Fund,Balanced Income Fund,1688,28212.56
328,710,Bond,Corp Bond A,107,33589.75
329,737,Bond,Corp Bond A,141,90441.82
330,880,Mutual Fund,Global Growth Fund,2095,52761.37
331,779,ETF,QQQ,379,82937.08
332,1502,Mutual Fund,Balanced Income Fund,169,2753.36
333,1527,Equity,JPM,121,41154.02
334,1156,Cash,CAD Cash,1,104036.7
335,503,ETF,EWU,944,149431.52
336,533,Equity,NVDA,899,24194.43
337,716,Equity,NVDA,279,93385.23
338,820,Equity,NESN,862,307143.28
339,1263,Cash,USD Cash,1,87692.67
340,38,Equity,NVDA,643,176568.8
341,2489,Equity,NVDA,645,206850.32
342,2115,Equity,NESN,261,105126.41
343,299,Mutual Fund,Global Growth Fund,398,40023.13
344,1914,Bond,Corp Bond A,218,245461.28
345,1969,Bond,UST 10Y,192,217418.5
346,2020,Equity,TSLA,869,385687.48
347,997,ETF,XIC,808,225456.33
348,500,ETF,EWU,763,88850.44
349,737,Equity,NVDA,950,90253.4
350,645,Cash,USD Cash,1,7361.95
351,153,Mutual Fund,Euro Equity Fund,1346,50911.61
352,1909,Equity,NESN,535,61862.7
353,755,Equity,V,138,4133.98
354,2497,ETF,XIC,260,57717.83
355,1246,Equity,UNH,847,373814.5
356,565,Bond,UST 5Y,233,70289.04
357,1247,ETF,VGK,719,238597.29
358,2169,Bond,Euro Gov Bond,12,4739.07
359,1880,Mutual Fund,Global Growth Fund,388,35824.76
360,614,Bond,Euro Gov Bond,267,51526.03
361,995,Mutual Fund,Global Growth Fund,2461,74320.21
362,639,Equity,V,546,118310.98
363,2022,Bond,Euro Gov Bond,103,26945.22
364,2047,Bond,UK Gilt 2030,165,57565.14
365,964,Equity,AMZN,336,11738.16
366,709,Bond,UK Gilt 2030,21,11848.47
367,1518,Equity,NVDA,683,28973.99
368,1418,Bond,Euro Gov Bond,250,297962.09
369,151,Mutual Fund,Balanced Income Fund,1148,69985.94
370,2004,ETF,EWU,592,23243.83
371,1637,ETF,VGK,527,79116.28
372,698,Mutual Fund,US Bluechip Fund,1418,43675.89
373,1604,ETF,EWU,955,248123.63
374,696,ETF,EWU,671,170247.55
375,434,ETF,VTI,863,20842.55
376,1202,Equity,UNH,181,50984.11
377,683,Equity,JPM,289,58861.63
378,1277,ETF,XIC,427,43509.32
379,1854,Cash,GBP Cash,1,53209.34
380,1664,Cash,EUR Cash,1,107657.26
381,137,Equity,AAPL,620,116942.35
382,48,Bond,Corp Bond B,295,63691.1
383,421,ETF,EWU,988,206591.62
384,1300,Cash,CAD Cash,1,103751.99
385,354,Equity,MSFT,87,6044.91
386,465,Bond,UST 5Y,297,316213.53
387,506,Mutual Fund,Balanced Income Fund,413,4395.82
388,1189,Equity,MSFT,789,305016.55
389,1114,Equity,NVDA,69,20460.16
390,2451,Equity,JPM,344,25752.13
391,917,Cash,GBP Cash,1,7615.06
392,121,Equity,MSFT,564,194908.66
393,1376,Bond,Euro Gov Bond,284,87869.52
394,2240,Equity,GOOGL,648,102375.21
395,108,Equity,NVDA,154,9724.53
396,2245,Bond,UST 5Y,89,78677.48
397,2208,Cash,EUR Cash,1,20725.25
398,1159,Bond,UK Gilt 2030,56,52164.74
399,1372,Mutual Fund,Global Growth Fund,1754,95971.93
400,794,Equity,GOOGL,237,95997.85
401,7,Equity,AAPL,919,211430.78
402,934,ETF,XIC,189,44094.18
403,48,ETF,VGK,46,11651.05
404,2276,Mutual Fund,US Bluechip Fund,903,58790.38
405,1456,Equity,TSLA,724,106013.22
406,958,ETF,XIC,584,150367.23
407,917,Mutual Fund,Balanced Income Fund,1550,74686.33
408,1523,Bond,UST 10Y,136,108328.87
409,1677,Equity,MSFT,993,316478.37
410,1875,Mutual Fund,Global Growth Fund,347,29326.86
411,1259,Cash,EUR Cash,1,49698.15
412,1652,Bond,UST 10Y,143,29954.14
413,1388,Mutual Fund,Global Growth Fund,1899,204011.6
414,2023,ETF,VTI,988,363793.54
415,2334,Mutual Fund,Euro Equity Fund,611,24669.2
416,445,Cash,USD Cash,1,12941.46
417,56,Equity,GOOGL,500,108207.03
418,1254,ETF,EWU,426,16121.91
419,1344,Equity,MSFT,877,387230.43
420,1620,Equity,GOOGL,502,65325.74
421,2165,Bond,Corp Bond A,139,163814.61
422,2136,Mutual Fund,Global Growth Fund,2369,214032
423,2426,ETF,SPY,481,213410.81
424,31,Cash,CAD Cash,1,149200.28
425,1532,Equity,GOOGL,466,175427.24
426,2123,ETF,EWU,954,21127.31
427,111,Mutual Fund,US Bluechip Fund,1903,225849.61
428,757,Equity,AMZN,333,137437.47
429,903,Bond,UST 10Y,47,38569.55
430,1501,ETF,XIC,399,100521.19
431,2468,Cash,CAD Cash,1,94600.89
432,1653,Mutual Fund,Balanced Income Fund,779,81660.71
433,2334,Mutual Fund,US Bluechip Fund,1821,144701.57
434,876,Equity,AAPL,248,22157.72
435,1163,Equity,JPM,957,344556.44
436,1463,Equity,GOOGL,734,142845.4
437,1867,Cash,USD Cash,1,99483.33
438,240,Equity,JPM,537,84465.62
439,1688,ETF,VTI,442,117801.98
440,2430,Equity,NESN,173,17244.52
441,1795,Bond,Corp Bond A,242,280894.91
442,182,Bond,UST 10Y,212,191782.23
443,2277,Equity,AAPL,967,63651.64
444,795,ETF,XIC,633,223751.04
445,189,ETF,XIC,941,305652.86
446,1379,Mutual Fund,Global Growth Fund,1278,148458
447,940,Bond,UST 10Y,128,117020.51
448,1358,Equity,MSFT,281,124368.23
449,738,Cash,CAD Cash,1,91803.7
450,2088,Equity,MSFT,26,2914.26
451,484,Bond,Corp Bond B,220,27439.6
452,867,Equity,V,778,149503.39
453,2112,Mutual Fund,Balanced Income Fund,1184,27668.79
454,1998,Mutual Fund,US Bluechip Fund,913,12973.61
455,2019,Equity,AAPL,920,21699.68
456,2455,Bond,Corp Bond A,86,90567.68
457,1896,Cash,USD Cash,1,90934.12
458,1394,Mutual Fund,Euro Equity Fund,225,6515.99
459,1431,Equity,MSFT,359,70960.3
460,1167,ETF,EWU,599,52297.61
461,2439,Equity,AMZN,731,188423.49
462,2014,Cash,CAD Cash,1,144772.35
463,2428,Equity,NESN,75,13665.43
464,1483,Equity,NESN,866,165079.41
465,1769,ETF,VGK,660,219950.2
466,319,Equity,GOOGL,953,390584.67
467,2423,ETF,QQQ,324,24155.63
468,432,Bond,Corp Bond A,173,56301.26
469,256,Mutual Fund,Euro Equity Fund,2210,127735.74
470,2438,Mutual Fund,Global Growth Fund,1040,35170.05
471,1788,Equity,UNH,925,310735.25
472,1158,Mutual Fund,Euro Equity Fund,2327,137948.22
473,2055,ETF,SPY,675,75158.13
474,289,ETF,SPY,767,336270.7
475,1431,Equity,JPM,926,135045.31
476,436,Mutual Fund,Global Growth Fund,1590,93309.63
477,1808,Equity,V,948,45025.75
478,289,Mutual Fund,Balanced Income Fund,854,72820.86
479,878,ETF,SPY,657,259878.05
480,514,ETF,QQQ,116,9576.29
481,1078,Equity,TSLA,109,23627.08
482,1143,Equity,MSFT,341,65945.55
483,1618,Mutual Fund,Balanced Income Fund,1879,107877.76
484,1600,Equity,AAPL,207,47975.77
485,2398,Mutual Fund,Balanced Income Fund,1866,182318.45
486,1082,ETF,XIC,456,113384.5
487,525,Equity,JPM,180,61989.6
488,1114,Mutual Fund,US Bluechip Fund,1820,47973.81
489,1430,Bond,Euro Gov Bond,270,292537.51
490,11,Equity,UNH,820,191159.05
491,452,Bond,UST 10Y,94,30561.57
492,2269,Equity,AMZN,549,132839.3
493,2141,Bond,Corp Bond B,60,19495.46
494,2211,Equity,UNH,696,231492.51
495,1450,Mutual Fund,US Bluechip Fund,2364,255956.45
496,357,Mutual Fund,Global Growth Fund,488,25392.01
497,612,Bond,UST 5Y,10,10961.23
498,1967,Mutual Fund,Euro Equity Fund,2257,118690.54
499,1449,Bond,Corp Bond A,241,60147.35
500,985,ETF,SPY,239,93842.9
501,498,Cash,USD Cash,1,113854.64
502,416,Equity,AMZN,57,4488.56
503,82,Mutual Fund,Global Growth Fund,232,2417.05
504,2104,Bond,Corp Bond B,193,72982.37
505,2098,ETF,SPY,682,281872.41
506,985,Cash,EUR Cash,1,85962.41
507,1404,Cash,CAD Cash,1,124650.47
508,1101,Mutual Fund,Balanced Income Fund,1243,13271.71
509,2253,Equity,V,693,189940.12
510,154,Mutual Fund,US Bluechip Fund,223,9830.97
511,566,Equity,JPM,831,41240.29
512,1812,Bond,UST 10Y,240,121538.3
513,1459,Equity,AAPL,534,168026.21
514,1263,Bond,Corp Bond A,81,74698.29
515,204,Bond,UST 5Y,16,5255.8
516,2294,Mutual Fund,US Bluechip Fund,2154,206709.05
517,1654,Equity,AAPL,260,32419.1
518,2459,ETF,QQQ,207,36704.69
519,1793,Bond,UST 10Y,226,180939.93
520,1019,Bond,UK Gilt 2030,124,99699.54
521,117,Bond,UST 10Y,123,35196.98
522,237,Bond,UK Gilt 2030,16,14492.72
523,494,ETF,EWU,280,125716.77
524,1225,Equity,UNH,406,117598.41
525,391,Bond,Euro Gov Bond,178,198615.22
526,526,ETF,XIC,873,258810.6
527,469,Equity,NESN,314,137627.69
528,463,Cash,EUR Cash,1,137247.92
529,1242,Equity,V,466,110101.94
530,2461,Mutual Fund,US Bluechip Fund,1491,94109.66
531,330,Mutual Fund,Balanced Income Fund,536,35276.28
532,363,ETF,SPY,836,114774.1
533,355,ETF,SPY,81,3204.68
534,1081,Bond,Corp Bond B,253,152475
535,1377,Bond,Corp Bond B,54,55633.39
536,848,ETF,EWU,40,9156.34
537,1025,Cash,EUR Cash,1,19028.91
538,4,Equity,TSLA,926,202003.76
539,259,Equity,TSLA,383,24015.95
540,1357,ETF,VTI,70,23063.97
541,1313,Equity,JPM,938,124350.4
542,1820,Bond,UK Gilt 2030,263,140918.51
543,731,Bond,Corp Bond B,298,220593.67
544,842,ETF,VTI,921,379604.28
545,1462,ETF,XIC,730,227320.4
546,1323,ETF,XIC,14,5957.63
547,1658,Cash,CAD Cash,1,63080.31
548,207,Equity,JPM,131,9898.18
549,114,ETF,VTI,645,209106.76
550,1741,ETF,EWU,504,10994.33
551,1682,ETF,VTI,766,281854.32
552,296,Equity,AAPL,978,120430.52
553,431,Bond,UST 10Y,148,25460.79
554,1941,Bond,Euro Gov Bond,178,48767.78
555,1725,ETF,SPY,275,80148.27
556,1088,Equity,NVDA,176,32847.84
557,787,ETF,SPY,46,6272.97
558,564,Bond,UK Gilt 2030,99,66152.61
559,1012,Cash,USD Cash,1,55936.07
560,2380,Bond,Corp Bond B,168,193404.84
561,373,Bond,UK Gilt 2030,152,74934.96
562,1215,ETF,EWU,814,244145.14
563,1245,Bond,UK Gilt 2030,296,71869.29
564,1291,Mutual Fund,Global Growth Fund,2237,29834.14
565,296,Equity,JPM,516,56187.87
566,466,Bond,Corp Bond B,242,105493.28
567,1207,Bond,UK Gilt 2030,89,26424.57
568,2027,ETF,SPY,757,223722.83
569,775,Mutual Fund,Euro Equity Fund,1873,64030.08
570,1173,ETF,EWU,570,41567.14
571,1081,Equity,MSFT,642,178904.32
572,1097,Mutual Fund,Balanced Income Fund,1108,100169.08
573,1062,ETF,VGK,368,90032.96
574,133,Equity,V,282,86749.38
575,383,Equity,TSLA,756,16989.86
576,2449,Equity,MSFT,80,27939.52
577,1477,ETF,VTI,472,203690.52
578,18,Mutual Fund,Global Growth Fund,1682,18248.96
579,1057,Bond,Corp Bond A,15,8429.13
580,150,ETF,VTI,861,230181.41
581,520,Mutual Fund,Global Growth Fund,1959,38811.66
582,123,Bond,UK Gilt 2030,111,55365.83
583,695,Mutual Fund,Balanced Income Fund,2486,293231.91
584,1666,Equity,MSFT,62,7942.82
585,1009,ETF,VGK,917,188502.96
586,1297,Equity,UNH,248,32372.43
587,429,ETF,VGK,357,63243.47
588,1140,Equity,JPM,734,116489.21
589,505,Mutual Fund,Global Growth Fund,951,25732.28
590,751,ETF,QQQ,315,140199.94
591,586,Bond,UK Gilt 2030,36,29646.71
592,673,Mutual Fund,Euro Equity Fund,1935,178885.1
593,2378,Equity,NESN,554,124496.27
594,1653,ETF,VTI,939,108779.57
595,2178,Mutual Fund,Euro Equity Fund,2145,80381.42
596,2339,ETF,EWU,808,103564.61
597,1002,Mutual Fund,US Bluechip Fund,1685,68425.24
598,1718,Mutual Fund,Global Growth Fund,1893,149576.56
599,1862,Equity,V,123,23487.3
600,1693,ETF,VTI,662,200153.38
601,2107,Equity,UNH,540,168019.07
602,2361,Equity,TSLA,913,323478.65
603,2227,Mutual Fund,Euro Equity Fund,2342,20202.81
604,1047,Mutual Fund,Euro Equity Fund,2489,86807.52
605,144,ETF,QQQ,186,43530.44
606,1774,Equity,GOOGL,118,2829.71
607,2402,ETF,SPY,616,274614
608,674,Mutual Fund,US Bluechip Fund,1874,217402.8
